date,open,high,low,close,volume,Ticket
1977-01-03,1.1584,1.1746,1.1584,1.1746,440451,pep
1977-01-04,1.1746,1.1746,1.1584,1.1584,1224936,pep
1977-01-05,1.1584,1.1584,1.1417,1.1499,911582,pep
1977-01-06,1.1499,1.1584,1.1499,1.1584,407582,pep
1977-01-07,1.1584,1.1584,1.1499,1.1499,385671,pep
1977-01-10,1.1499,1.1584,1.1499,1.1584,666154,pep
1977-01-11,1.1584,1.1662,1.1417,1.1417,512764,pep
1977-01-12,1.1417,1.1417,1.1334,1.1417,431684,pep
1977-01-13,1.1417,1.1584,1.1417,1.1584,311167,pep
1977-01-14,1.1584,1.1584,1.1334,1.1417,159968,pep
1977-01-17,1.1417,1.1417,1.1334,1.1334,411966,pep
1977-01-18,1.1334,1.1334,1.1172,1.1255,988276,pep
1977-01-19,1.1172,1.1172,1.1087,1.1087,425113,pep
1977-01-20,1.1087,1.1172,1.0924,1.1008,782292,pep
1977-01-21,1.1008,1.1087,1.0924,1.1008,387859,pep
1977-01-24,1.0924,1.0924,1.0845,1.0924,466748,pep
1977-01-25,1.0924,1.0924,1.0845,1.0845,506190,pep
1977-01-26,1.0845,1.0924,1.0514,1.0597,1172347,pep
1977-01-27,1.0597,1.0597,1.0349,1.0431,554399,pep
1977-01-28,1.0431,1.0514,1.0431,1.0514,390053,pep
1977-01-31,1.0514,1.0514,1.0431,1.0514,427306,pep
1977-02-01,1.0514,1.0597,1.0514,1.0597,666154,pep
1977-02-02,1.0597,1.0762,1.0597,1.0597,302402,pep
1977-02-03,1.0597,1.0597,1.0597,1.0597,486471,pep
1977-02-04,1.0597,1.0675,1.0597,1.0597,622328,pep
1977-02-07,1.0597,1.0675,1.0597,1.0675,254190,pep
1977-02-08,1.0675,1.0762,1.0675,1.0675,179683,pep
1977-02-09,1.0675,1.0675,1.0514,1.0597,797634,pep
1977-02-10,1.0597,1.0675,1.0597,1.0675,576312,pep
1977-02-11,1.0675,1.0675,1.0597,1.0597,905006,pep
1977-02-14,1.0597,1.0597,1.0514,1.0597,269532,pep
1977-02-15,1.0597,1.0675,1.0597,1.0675,302402,pep
1977-02-16,1.0675,1.0845,1.0675,1.0762,712171,pep
1977-02-17,1.0762,1.0845,1.0675,1.0675,267336,pep
1977-02-18,1.0675,1.0762,1.0675,1.0762,677112,pep
1977-02-22,1.0762,1.0762,1.0762,1.0762,425113,pep
1977-02-23,1.0762,1.0845,1.0675,1.0675,251998,pep
1977-02-24,1.0675,1.0675,1.0514,1.0514,777913,pep
1977-02-25,1.0514,1.0845,1.0514,1.0762,1163579,pep
1977-02-28,1.0762,1.0845,1.0762,1.0845,556587,pep
1977-03-01,1.0845,1.1172,1.0845,1.1087,683686,pep
1977-03-02,1.1087,1.1255,1.1087,1.1172,501809,pep
1977-03-03,1.1255,1.1499,1.1255,1.1417,944450,pep
